"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"1","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"134","all_products","201_B_1270","NaN","39.340000000000003","36.86"
"135","all_products","209_B_1366","NaN","39.75","36.880000000000003"
"136","all_products","214_B_1426","NaN","38.46","35.99"
"137","all_products","236_B_1690","NaN","39.15","36.67"
"138","all_products","245_B_1798","NaN","40","40"
"139","all_products","250_B_1858","NaN","40","1"
"140","test1","19_C_127","NaN","32.369999999999997","28.65"
"141","test1","35_C_223","NaN","32.78","29.07"
"142","test1","70_C_427","NaN","32.35","28.47"
"143","test1","242_C_1763","NaN","32.96","29.3"
"144","test1","166_C_967","NaN","33.71","30.21"
"145","test1","201_C_1271","NaN","35.47","32.5"
"146","test1","209_C_1367","NaN","32.74","29.04"
"147","test1","214_C_1427","NaN","33.82","30.4"
"148","test1","236_C_1691","NaN","34.65","31.55"
"149","test1","245_C_1799","NaN","35.49","32.659999999999997"
"150","test1","188_A_1197","NaN","33.47","29.98"
"151","test1","250_C_1859","NaN","36.299999999999997","33.630000000000003"
"152","all_products","19_C_127","NaN","38.25","35.869999999999997"
"153","all_products","35_C_223","NaN","39.07","36.479999999999997"
"154","all_products","70_C_427","NaN","39","36.630000000000003"
"155","all_products","242_C_1763","NaN","38.549999999999997","36.200000000000003"
"156","all_products","166_C_967","NaN","40","37.72"
"157","all_products","201_C_1271","NaN","39.72","37.380000000000003"
"158","all_products","209_C_1367","NaN","38.729999999999997","36.200000000000003"
"159","all_products","214_C_1427","NaN","40","39.82"
"160","all_products","236_C_1691","NaN","40","40"
"161","all_products","245_C_1799","NaN","40","40"
"162","all_products","188_A_1197","NaN","40","37.82"
"163","all_products","250_C_1859","NaN","40","1"
"164","test1","19_D_128","NaN","34.86","31.83"
"165","test1","35_D_224","NaN","33.76","30.46"
"166","test1","70_D_428","NaN","37.229999999999997","34.82"
"167","test1","242_D_1764","NaN","36.54","34.020000000000003"
"168","test1","166_D_968","NaN","34.14","30.82"
"169","test1","201_D_1272","NaN","33.71","30.36"
"170","test1","209_D_1368","NaN","35.1","32.21"
"171","test1","214_D_1428","NaN","35.79","33.130000000000003"
"172","test1","236_D_1692","NaN","35.86","33.24"
"173","test1","245_D_1800","NaN","37.22","35.18"
"174","test1","188_B_1198","NaN","35.39","32.53"
"175","test1","250_D_1860","NaN","38.24","36.44"
"176","all_products","19_D_128","NaN","40","40"
"177","all_products","35_D_224","NaN","40","38.39"
"178","all_products","70_D_428","NaN","40","1.0900000000000001"
"179","all_products","242_D_1764","NaN","40","1"
"180","all_products","166_D_968","NaN","40","38.86"
"181","all_products","201_D_1272","NaN","40","39.15"
"182","all_products","209_D_1368","NaN","40","38.61"
"183","all_products","214_D_1428","NaN","40","40"
"184","all_products","236_D_1692","NaN","40","1"
"185","all_products","245_D_1800","NaN","40","1"
"186","all_products","188_B_1198","NaN","40","1"
"187","all_products","250_D_1860","NaN","40","1.75"
"188","test1","NTC","NaN","40","1"
"189","test1","NTC","NaN","40","1"
"190","test1","NTC","NaN","40","1"
"191","all_products","NTC","NaN","40","6.23"
"192","all_products","NTC","NaN","40","1.0900000000000001"
"193","all_products","NTC","NaN","40","1"
"194","all_products","NTC","NaN","40","1"
"195","all_products","NTC","NaN","40","1"
"196","all_products","NTC","NaN","40","1"
